YEAR,COMNOM,COMREAL
1960,2.4,12.9
1961,2.4,12.8
1962,2.4,12.6
1963,2.3,11.9
1964,2.2,11.2
1965,2.2,11
1966,2.1,10.2
1967,2.1,9.9
1968,2.1,9.5
1969,2.1,9.1
1970,2.1,8.6
1971,2.2,8.6
1972,2.3,8.6
1973,2.4,8.5
1974,3,9.8
1975,3.5,10.4
1976,3.7,10.4
1977,4.1,10.9
1978,4.4,10.9
1979,4.7,10.7
1980,5.5,11.5
1981,6.3,12.1
1982,6.9,12.4
1983,7,12.1
1984,7.13,11.92
1985,7.27,11.8
1986,7.2,11.43
1987,7.08,10.92
1988,7.04,10.5
1989,7.2,10.35
1990,7.34,10.16
1991,7.53,10.06
1992,7.66,10
1993,7.74,9.89
1994,7.73,9.67
1995,7.69,9.42
1996,7.64,9.19
1997,7.59,8.97
1998,7.41,8.66
1999,7.26,8.36
2000,7.43,8.37
2001,7.92,8.73
2002,7.89,8.56
2003,8.03,8.53
2004,8.17,8.44
2005,8.67,8.67
2006,9.46,9.16
2007,9.65,9.08
2008,10.36,9.54
2009,10.17,9.27
2010,10.19,9.18
2011,10.32,9.1
