YEAR,INDNOM,INDREAL
1960,1.1,5.9
1961,1.1,5.8
1962,1.1,5.8
1963,1,5.2
1964,1,5.1
1965,1,5
1966,1,4.9
1967,1,4.7
1968,1,4.5
1969,1,4.3
1970,1,4.1
1971,1.1,4.3
1972,1.2,4.5
1973,1.3,4.6
1974,1.7,5.5
1975,2.1,6.3
1976,2.2,6.2
1977,2.5,6.6
1978,2.8,6.9
1979,3.1,7.1
1980,3.7,7.7
1981,4.3,8.2
1982,5,9
1983,5,8.7
1984,4.83,8.07
1985,4.97,8.06
1986,4.93,7.83
1987,4.77,7.36
1988,4.7,7.01
1989,4.72,6.78
1990,4.74,6.56
1991,4.83,6.46
1992,4.83,6.31
1993,4.85,6.19
1994,4.77,5.97
1995,4.66,5.71
1996,4.6,5.53
1997,4.53,5.35
1998,4.48,5.23
1999,4.43,5.1
2000,4.64,5.23
2001,5.05,5.57
2002,4.88,5.29
2003,5.11,5.43
2004,5.25,5.42
2005,5.73,5.73
2006,6.16,5.97
2007,6.39,6.02
2008,6.83,6.29
2009,6.81,6.21
2010,6.77,6.1
2011P,6.89,6.08
