YEAR,OTHNOM,OTHREAL
1960,1.9,10.2
1961,1.8,9.6
1962,1.9,10
1963,1.8,9.3
1964,1.8,9.2
1965,1.8,9
1966,1.8,8.8
1967,1.8,8.5
1968,1.8,8.2
1969,1.7,7.4
1970,1.8,7.4
1971,1.9,7.4
1972,2,7.5
1973,2.1,7.5
1974,2.8,9.1
1975,3.1,9.2
1976,3.3,9.3
1977,3.5,9.3
1978,3.6,8.9
1979,4,9.1
1980,4.8,10
1981,5.3,10.1
1982,5.9,10.6
1983,6.4,11.1
1984,5.9,9.86
1985,6.09,9.88
1986,6.11,9.7
1987,6.21,9.58
1988,6.2,9.25
1989,6.25,8.98
1990,6.4,8.86
1991,6.51,8.7
1992,6.74,8.8
1993,6.88,8.79
1994,6.84,8.56
1995,6.88,8.43
1996,6.91,8.31
1997,6.91,8.17
1998,6.63,7.75
1999,6.35,7.31
2000,6.56,7.39
2001,7.2,7.94
2002,6.75,7.32
2003,,
2004,,
2005,,
2006,,
2007,,
2008,,
2009,,
2010,,
2011P,,
